Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[19/200] | Loss:0.0143 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9922 | C 1:0.9853 | C 2:0.9813| C 3:0.9897| C 4:0.9864| C 5:0.9884| C 6:0.9831| C 7:0.9805| C 8:0.9846| C 9:0.9831| C 10:nan| C 11:nan
Epoch[20/200] | Loss:0.0128 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9930 | C 1:0.9869 | C 2:0.9833| C 3:0.9908| C 4:0.9878| C 5:0.9896| C 6:0.9849| C 7:0.9826| C 8:0.9864| C 9:0.9850| C 10:nan| C 11:nan
Epoch[21/200] | Loss:0.0115 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9937 | C 1:0.9882 | C 2:0.9850| C 3:0.9917| C 4:0.9890| C 5:0.9906| C 6:0.9864| C 7:0.9844| C 8:0.9878| C 9:0.9866| C 10:nan| C 11:nan
Epoch[22/200] | Loss:0.0103 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9943 | C 1:0.9893 | C 2:0.9864| C 3:0.9924| C 4:0.9900| C 5:0.9915| C 6:0.9877| C 7:0.9859| C 8:0.9891| C 9:0.9880| C 10:nan| C 11:nan
Epoch[23/200] | Loss:0.0094 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9948 | C 1:0.9903 | C 2:0.9877| C 3:0.9931| C 4:0.9909| C 5:0.9923| C 6:0.9888| C 7:0.9872| C 8:0.9901| C 9:0.9892| C 10:nan| C 11:nan
Epoch[24/200] | Loss:0.0085 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9953 | C 1:0.9911 | C 2:0.9888| C 3:0.9937| C 4:0.9917| C 5:0.9929| C 6:0.9898| C 7:0.9884| C 8:0.9910| C 9:0.9902| C 10:nan| C 11:nan
Epoch[25/200] | Loss:0.0078 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9957 | C 1:0.9919 | C 2:0.9897| C 3:0.9942| C 4:0.9924| C 5:0.9935| C 6:0.9906| C 7:0.9894| C 8:0.9918| C 9:0.9911| C 10:nan| C 11:nan
Epoch[26/200] | Loss:0.0072 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9960 | C 1:0.9926 | C 2:0.9906| C 3:0.9947| C 4:0.9930| C 5:0.9940| C 6:0.9914| C 7:0.9903| C 8:0.9925| C 9:0.9919| C 10:nan| C 11:nan
Epoch[27/200] | Loss:0.0066 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9963 | C 1:0.9931 | C 2:0.9913| C 3:0.9951| C 4:0.9935| C 5:0.9945| C 6:0.9920| C 7:0.9910| C 8:0.9931| C 9:0.9925| C 10:nan| C 11:nan
Epoch[28/200] | Loss:0.0061 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9966 | C 1:0.9937 | C 2:0.9920| C 3:0.9954| C 4:0.9940| C 5:0.9949| C 6:0.9926| C 7:0.9917| C 8:0.9937| C 9:0.9931| C 10:nan| C 11:nan
Epoch[29/200] | Loss:0.0056 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9968 | C 1:0.9941 | C 2:0.9926| C 3:0.9958| C 4:0.9944| C 5:0.9953| C 6:0.9932| C 7:0.9924| C 8:0.9942| C 9:0.9937| C 10:nan| C 11:nan
Epoch[30/200] | Loss:0.0052 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9971 | C 1:0.9946 | C 2:0.9931| C 3:0.9961| C 4:0.9948| C 5:0.9956| C 6:0.9937| C 7:0.9929| C 8:0.9946| C 9:0.9942| C 10:nan| C 11:nan
Epoch[31/200] | Loss:0.0049 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9973 | C 1:0.9949 | C 2:0.9936| C 3:0.9963| C 4:0.9952| C 5:0.9959| C 6:0.9941| C 7:0.9934| C 8:0.9950| C 9:0.9946| C 10:nan| C 11:nan
Epoch[32/200] | Loss:0.0045 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9975 | C 1:0.9953 | C 2:0.9940| C 3:0.9966| C 4:0.9955| C 5:0.9962| C 6:0.9945| C 7:0.9939| C 8:0.9954| C 9:0.9950| C 10:nan| C 11:nan
Epoch[33/200] | Loss:0.0042 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9976 | C 1:0.9956 | C 2:0.9944| C 3:0.9968| C 4:0.9958| C 5:0.9964| C 6:0.9949| C 7:0.9943| C 8:0.9957| C 9:0.9953| C 10:nan| C 11:nan
Epoch[34/200] | Loss:0.0039 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9978 | C 1:0.9959 | C 2:0.9948| C 3:0.9970| C 4:0.9961| C 5:0.9967| C 6:0.9952| C 7:0.9947| C 8:0.9960| C 9:0.9957| C 10:nan| C 11:nan
Epoch[35/200] | Loss:0.0037 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9979 | C 1:0.9961 | C 2:0.9951| C 3:0.9972| C 4:0.9963| C 5:0.9969| C 6:0.9955| C 7:0.9950| C 8:0.9962| C 9:0.9959| C 10:nan| C 11:nan
Epoch[36/200] | Loss:0.0035 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9980 | C 1:0.9964 | C 2:0.9954| C 3:0.9974| C 4:0.9966| C 5:0.9971| C 6:0.9958| C 7:0.9953| C 8:0.9965| C 9:0.9962| C 10:nan| C 11:nan
Epoch[37/200] | Loss:0.0032 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9982 | C 1:0.9966 | C 2:0.9957| C 3:0.9975| C 4:0.9968| C 5:0.9973| C 6:0.9960| C 7:0.9956| C 8:0.9967| C 9:0.9965| C 10:nan| C 11:nan
Epoch[38/200] | Loss:0.0031 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9983 | C 1:0.9968 | C 2:0.9960| C 3:0.9977| C 4:0.9970| C 5:0.9974| C 6:0.9963| C 7:0.9959| C 8:0.9969| C 9:0.9967| C 10:nan| C 11:nan
Epoch[39/200] | Loss:0.0029 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9984 | C 1:0.9970 | C 2:0.9962| C 3:0.9978| C 4:0.9971| C 5:0.9976| C 6:0.9965| C 7:0.9961| C 8:0.9971| C 9:0.9969| C 10:nan| C 11:nan
Epoch[40/200] | Loss:0.0027 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9985 | C 1:0.9972 | C 2:0.9964| C 3:0.9979| C 4:0.9973| C 5:0.9977| C 6:0.9967| C 7:0.9964| C 8:0.9973| C 9:0.9971| C 10:nan| C 11:nan
Epoch[41/200] | Loss:0.0025 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9985 | C 1:0.9973 | C 2:0.9966| C 3:0.9980| C 4:0.9975| C 5:0.9978| C 6:0.9969| C 7:0.9966| C 8:0.9974| C 9:0.9972| C 10:nan| C 11:nan
Epoch[42/200] | Loss:0.0024 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9986 | C 1:0.9975 | C 2:0.9968| C 3:0.9981| C 4:0.9976| C 5:0.9980| C 6:0.9971| C 7:0.9968| C 8:0.9976| C 9:0.9974| C 10:nan| C 11:nan
Epoch[43/200] | Loss:0.0023 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9987 | C 1:0.9976 | C 2:0.9970| C 3:0.9982| C 4:0.9977| C 5:0.9981| C 6:0.9972| C 7:0.9969| C 8:0.9977| C 9:0.9976| C 10:nan| C 11:nan
Epoch[44/200] | Loss:0.0021 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9988 | C 1:0.9978 | C 2:0.9972| C 3:0.9983| C 4:0.9979| C 5:0.9982| C 6:0.9974| C 7:0.9971| C 8:0.9978| C 9:0.9977| C 10:nan| C 11:nan
Epoch[45/200] | Loss:0.0020 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9988 | C 1:0.9979 | C 2:0.9973| C 3:0.9984| C 4:0.9980| C 5:0.9983| C 6:0.9975| C 7:0.9973| C 8:0.9980| C 9:0.9978| C 10:nan| C 11:nan
Epoch[46/200] | Loss:0.0019 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9989 | C 1:0.9980 | C 2:0.9975| C 3:0.9985| C 4:0.9981| C 5:0.9984| C 6:0.9977| C 7:0.9974| C 8:0.9981| C 9:0.9979| C 10:nan| C 11:nan
Epoch[47/200] | Loss:0.0018 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9990 | C 1:0.9981 | C 2:0.9976| C 3:0.9986| C 4:0.9982| C 5:0.9984| C 6:0.9978| C 7:0.9976| C 8:0.9982| C 9:0.9981| C 10:nan| C 11:nan
Epoch[48/200] | Loss:0.0017 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9990 | C 1:0.9982 | C 2:0.9977| C 3:0.9987| C 4:0.9983| C 5:0.9985| C 6:0.9979| C 7:0.9977| C 8:0.9983| C 9:0.9982| C 10:nan| C 11:nan
Epoch[49/200] | Loss:0.0016 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9991 | C 1:0.9983 | C 2:0.9978| C 3:0.9987| C 4:0.9984| C 5:0.9986| C 6:0.9980| C 7:0.9978| C 8:0.9984| C 9:0.9983| C 10:nan| C 11:nan
Epoch[50/200] | Loss:0.0016 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9991 | C 1:0.9984 | C 2:0.9979| C 3:0.9988| C 4:0.9984| C 5:0.9987| C 6:0.9981| C 7:0.9979| C 8:0.9985| C 9:0.9984| C 10:nan| C 11:nan
Epoch[51/200] | Loss:0.0015 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9991 | C 1:0.9985 | C 2:0.9981| C 3:0.9989| C 4:0.9985| C 5:0.9987| C 6:0.9982| C 7:0.9980| C 8:0.9985| C 9:0.9984| C 10:nan| C 11:nan
Epoch[52/200] | Loss:0.0014 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9992 | C 1:0.9985 | C 2:0.9981| C 3:0.9989| C 4:0.9986| C 5:0.9988| C 6:0.9983| C 7:0.9981| C 8:0.9986| C 9:0.9985| C 10:nan| C 11:nan
Epoch[53/200] | Loss:0.0013 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9992 | C 1:0.9986 | C 2:0.9982| C 3:0.9990| C 4:0.9987| C 5:0.9989| C 6:0.9984| C 7:0.9982| C 8:0.9987| C 9:0.9986| C 10:nan| C 11:nan
Epoch[54/200] | Loss:0.0013 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9993 | C 1:0.9987 | C 2:0.9983| C 3:0.9990| C 4:0.9987| C 5:0.9989| C 6:0.9985| C 7:0.9983| C 8:0.9987| C 9:0.9987| C 10:nan| C 11:nan
Epoch[55/200] | Loss:0.0012 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9993 | C 1:0.9987 | C 2:0.9984| C 3:0.9991| C 4:0.9988| C 5:0.9990| C 6:0.9985| C 7:0.9984| C 8:0.9988| C 9:0.9987| C 10:nan| C 11:nan
Epoch[56/200] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9993 | C 1:0.9988 | C 2:0.9985| C 3:0.9991| C 4:0.9988| C 5:0.9990| C 6:0.9986| C 7:0.9985| C 8:0.9989| C 9:0.9988| C 10:nan| C 11:nan
Epoch[57/200] | Loss:0.0011 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9994 | C 1:0.9989 | C 2:0.9986| C 3:0.9991| C 4:0.9989| C 5:0.9991| C 6:0.9987| C 7:0.9985| C 8:0.9989| C 9:0.9989| C 10:nan| C 11:nan
Epoch[58/200] | Loss:0.0010 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9994 | C 1:0.9989 | C 2:0.9986| C 3:0.9992| C 4:0.9990| C 5:0.9991| C 6:0.9987| C 7:0.9986| C 8:0.9990| C 9:0.9989| C 10:nan| C 11:nan
