Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.4454, ML: 0.0000, BL: 0.4454, VL: 0.0000  | Var: 0.0064, W:4.4541
Epoch [200/1000], | TL: 0.3763, ML: 0.0002, BL: 0.3760, VL: 0.0000  | Var: 0.0054, W:3.7605
Epoch [300/1000], | TL: 0.3179, ML: 0.0024, BL: 0.3154, VL: 0.0000  | Var: 0.0042, W:3.1545
Epoch [400/1000], | TL: 0.2750, ML: 0.0043, BL: 0.2707, VL: 0.0000  | Var: 0.0038, W:2.7069
Epoch [500/1000], | TL: 0.2400, ML: 0.0043, BL: 0.2357, VL: 0.0000  | Var: 0.0043, W:2.3571
Epoch [600/1000], | TL: 0.2116, ML: 0.0043, BL: 0.2074, VL: 0.0000  | Var: 0.0053, W:2.0737
Epoch [700/1000], | TL: 0.1889, ML: 0.0043, BL: 0.1846, VL: 0.0000  | Var: 0.0065, W:1.8462
Epoch [800/1000], | TL: 0.1706, ML: 0.0043, BL: 0.1664, VL: 0.0000  | Var: 0.0078, W:1.6635
Epoch [900/1000], | TL: 0.1559, ML: 0.0042, BL: 0.1516, VL: 0.0000  | Var: 0.0090, W:1.5163
Epoch [1000/1000], | TL: 0.1439, ML: 0.0042, BL: 0.1397, VL: 0.0000  | Var: 0.0101, W:1.3966
[0.50%] Candidate 1 took 1.4176s
Epoch [100/1000], | TL: 0.4055, ML: 0.0002, BL: 0.4053, VL: 0.0000  | Var: 0.0058, W:4.0528
Epoch [200/1000], | TL: 0.3436, ML: 0.0026, BL: 0.3410, VL: 0.0000  | Var: 0.0046, W:3.4096
Epoch [300/1000], | TL: 0.2966, ML: 0.0043, BL: 0.2923, VL: 0.0000  | Var: 0.0037, W:2.9232
Epoch [400/1000], | TL: 0.2575, ML: 0.0043, BL: 0.2532, VL: 0.0000  | Var: 0.0039, W:2.5323
Epoch [500/1000], | TL: 0.2255, ML: 0.0043, BL: 0.2213, VL: 0.0000  | Var: 0.0046, W:2.2127
Epoch [600/1000], | TL: 0.1998, ML: 0.0043, BL: 0.1955, VL: 0.0000  | Var: 0.0057, W:1.9553
Epoch [700/1000], | TL: 0.1792, ML: 0.0043, BL: 0.1749, VL: 0.0000  | Var: 0.0069, W:1.7490
Epoch [800/1000], | TL: 0.1626, ML: 0.0043, BL: 0.1583, VL: 0.0000  | Var: 0.0081, W:1.5835
Epoch [900/1000], | TL: 0.1492, ML: 0.0043, BL: 0.1450, VL: 0.0000  | Var: 0.0092, W:1.4498
Epoch [1000/1000], | TL: 0.1383, ML: 0.0042, BL: 0.1341, VL: 0.0000  | Var: 0.0103, W:1.3408
[1.00%] Candidate 2 took 1.3827s
Epoch [100/1000], | TL: 0.4334, ML: 0.0070, BL: 0.4264, VL: 0.0000  | Var: 0.0166, W:4.2638
Epoch [200/1000], | TL: 0.3576, ML: 0.0056, BL: 0.3520, VL: 0.0000  | Var: 0.0218, W:3.5201
Epoch [300/1000], | TL: 0.2960, ML: 0.0053, BL: 0.2907, VL: 0.0000  | Var: 0.0262, W:2.9074
Epoch [400/1000], | TL: 0.2487, ML: 0.0052, BL: 0.2435, VL: 0.0000  | Var: 0.0302, W:2.4352
Epoch [500/1000], | TL: 0.2134, ML: 0.0051, BL: 0.2082, VL: 0.0000  | Var: 0.0337, W:2.0823
Epoch [600/1000], | TL: 0.1872, ML: 0.0051, BL: 0.1820, VL: 0.0000  | Var: 0.0366, W:1.8204
Epoch [700/1000], | TL: 0.1675, ML: 0.0051, BL: 0.1624, VL: 0.0000  | Var: 0.0389, W:1.6245
Epoch [800/1000], | TL: 0.1527, ML: 0.0051, BL: 0.1476, VL: 0.0000  | Var: 0.0408, W:1.4758
Epoch [900/1000], | TL: 0.1412, ML: 0.0051, BL: 0.1361, VL: 0.0000  | Var: 0.0424, W:1.3610
Epoch [1000/1000], | TL: 0.1322, ML: 0.0051, BL: 0.1271, VL: 0.0000  | Var: 0.0436, W:1.2710
[1.50%] Candidate 3 took 1.3920s
Epoch [100/1000], | TL: 0.8901, ML: 0.4626, BL: 0.4274, VL: 0.0000  | Var: 0.0038, W:4.2742
Epoch [200/1000], | TL: 0.4843, ML: 0.1037, BL: 0.3806, VL: 0.0000  | Var: 0.0159, W:3.8065
Epoch [300/1000], | TL: 0.3745, ML: 0.0424, BL: 0.3321, VL: 0.0000  | Var: 0.0274, W:3.3213
Epoch [400/1000], | TL: 0.3179, ML: 0.0267, BL: 0.2912, VL: 0.0000  | Var: 0.0360, W:2.9124
Epoch [500/1000], | TL: 0.2788, ML: 0.0202, BL: 0.2586, VL: 0.0000  | Var: 0.0418, W:2.5863
Epoch [600/1000], | TL: 0.2494, ML: 0.0169, BL: 0.2325, VL: 0.0000  | Var: 0.0453, W:2.3250
Epoch [700/1000], | TL: 0.2261, ML: 0.0151, BL: 0.2110, VL: 0.0000  | Var: 0.0469, W:2.1101
Epoch [800/1000], | TL: 0.2070, ML: 0.0142, BL: 0.1928, VL: 0.0000  | Var: 0.0472, W:1.9279
Epoch [900/1000], | TL: 0.1907, ML: 0.0136, BL: 0.1770, VL: 0.0000  | Var: 0.0468, W:1.7702
Epoch [1000/1000], | TL: 0.1766, ML: 0.0133, BL: 0.1633, VL: 0.0000  | Var: 0.0465, W:1.6332
[2.00%] Candidate 4 took 1.4028s
Epoch [100/1000], | TL: 0.5332, ML: 0.0638, BL: 0.4694, VL: 0.0000  | Var: 0.0084, W:4.6937
Epoch [200/1000], | TL: 0.4391, ML: 0.0272, BL: 0.4119, VL: 0.0000  | Var: 0.0117, W:4.1193
Epoch [300/1000], | TL: 0.3745, ML: 0.0154, BL: 0.3592, VL: 0.0000  | Var: 0.0152, W:3.5918
Epoch [400/1000], | TL: 0.3234, ML: 0.0102, BL: 0.3132, VL: 0.0000  | Var: 0.0188, W:3.1317
Epoch [500/1000], | TL: 0.2820, ML: 0.0075, BL: 0.2745, VL: 0.0000  | Var: 0.0222, W:2.7448
Epoch [600/1000], | TL: 0.2486, ML: 0.0059, BL: 0.2426, VL: 0.0000  | Var: 0.0254, W:2.4264
Epoch [700/1000], | TL: 0.2216, ML: 0.0049, BL: 0.2167, VL: 0.0000  | Var: 0.0281, W:2.1668
Epoch [800/1000], | TL: 0.1998, ML: 0.0043, BL: 0.1955, VL: 0.0000  | Var: 0.0305, W:1.9554
Epoch [900/1000], | TL: 0.1821, ML: 0.0039, BL: 0.1783, VL: 0.0000  | Var: 0.0324, W:1.7826
Epoch [1000/1000], | TL: 0.1676, ML: 0.0036, BL: 0.1640, VL: 0.0000  | Var: 0.0340, W:1.6403
[2.50%] Candidate 5 took 1.3881s
Epoch [100/1000], | TL: 0.4093, ML: 0.0000, BL: 0.4093, VL: 0.0000  | Var: 0.0037, W:4.0933
Epoch [200/1000], | TL: 0.3219, ML: 0.0000, BL: 0.3219, VL: 0.0000  | Var: 0.0028, W:3.2192
Epoch [300/1000], | TL: 0.2514, ML: 0.0006, BL: 0.2508, VL: 0.0000  | Var: 0.0018, W:2.5076
Epoch [400/1000], | TL: 0.2081, ML: 0.0044, BL: 0.2036, VL: 0.0000  | Var: 0.0016, W:2.0363
Epoch [500/1000], | TL: 0.1796, ML: 0.0044, BL: 0.1752, VL: 0.0000  | Var: 0.0025, W:1.7518
Epoch [600/1000], | TL: 0.1584, ML: 0.0044, BL: 0.1540, VL: 0.0000  | Var: 0.0037, W:1.5401
Epoch [700/1000], | TL: 0.1425, ML: 0.0044, BL: 0.1381, VL: 0.0000  | Var: 0.0049, W:1.3811
Epoch [800/1000], | TL: 0.1303, ML: 0.0044, BL: 0.1260, VL: 0.0000  | Var: 0.0061, W:1.2596
Epoch [900/1000], | TL: 0.1209, ML: 0.0044, BL: 0.1165, VL: 0.0000  | Var: 0.0073, W:1.1652
Epoch [1000/1000], | TL: 0.1134, ML: 0.0043, BL: 0.1091, VL: 0.0000  | Var: 0.0083, W:1.0905
[3.00%] Candidate 6 took 1.3962s
Epoch [100/1000], | TL: 0.4762, ML: 0.0000, BL: 0.4762, VL: 0.0000  | Var: 0.0090, W:4.7623
Epoch [200/1000], | TL: 0.4053, ML: 0.0000, BL: 0.4053, VL: 0.0000  | Var: 0.0077, W:4.0533
Epoch [300/1000], | TL: 0.3399, ML: 0.0000, BL: 0.3399, VL: 0.0000  | Var: 0.0060, W:3.3986
Epoch [400/1000], | TL: 0.2826, ML: 0.0000, BL: 0.2826, VL: 0.0000  | Var: 0.0044, W:2.8257
Epoch [500/1000], | TL: 0.2345, ML: 0.0000, BL: 0.2345, VL: 0.0000  | Var: 0.0030, W:2.3448
Epoch [600/1000], | TL: 0.1952, ML: 0.0000, BL: 0.1952, VL: 0.0000  | Var: 0.0020, W:1.9519
Epoch [700/1000], | TL: 0.1635, ML: 0.0000, BL: 0.1635, VL: 0.0000  | Var: 0.0014, W:1.6354
Epoch [800/1000], | TL: 0.1382, ML: 0.0000, BL: 0.1381, VL: 0.0000  | Var: 0.0009, W:1.3814
Epoch [900/1000], | TL: 0.1177, ML: 0.0000, BL: 0.1177, VL: 0.0000  | Var: 0.0006, W:1.1772
Epoch [1000/1000], | TL: 0.1012, ML: 0.0000, BL: 0.1012, VL: 0.0000  | Var: 0.0004, W:1.0121
[3.50%] Candidate 7 took 1.3985s
Epoch [100/1000], | TL: 0.4624, ML: 0.0275, BL: 0.4349, VL: 0.0000  | Var: 0.0118, W:4.3486
Epoch [200/1000], | TL: 0.3737, ML: 0.0157, BL: 0.3580, VL: 0.0000  | Var: 0.0166, W:3.5804
Epoch [300/1000], | TL: 0.3062, ML: 0.0112, BL: 0.2950, VL: 0.0000  | Var: 0.0218, W:2.9498
Epoch [400/1000], | TL: 0.2555, ML: 0.0090, BL: 0.2465, VL: 0.0000  | Var: 0.0267, W:2.4653
Epoch [500/1000], | TL: 0.2180, ML: 0.0076, BL: 0.2104, VL: 0.0000  | Var: 0.0310, W:2.1043
Epoch [600/1000], | TL: 0.1905, ML: 0.0067, BL: 0.1837, VL: 0.0000  | Var: 0.0346, W:1.8372
Epoch [700/1000], | TL: 0.1700, ML: 0.0062, BL: 0.1638, VL: 0.0000  | Var: 0.0375, W:1.6379
Epoch [800/1000], | TL: 0.1545, ML: 0.0058, BL: 0.1487, VL: 0.0000  | Var: 0.0398, W:1.4869
Epoch [900/1000], | TL: 0.1426, ML: 0.0056, BL: 0.1370, VL: 0.0000  | Var: 0.0416, W:1.3705
Epoch [1000/1000], | TL: 0.1333, ML: 0.0054, BL: 0.1279, VL: 0.0000  | Var: 0.0431, W:1.2792
[4.00%] Candidate 8 took 1.3866s
Epoch [100/1000], | TL: 0.5561, ML: 0.1176, BL: 0.4385, VL: 0.0000  | Var: 0.0138, W:4.3850
Epoch [200/1000], | TL: 0.4141, ML: 0.0519, BL: 0.3622, VL: 0.0000  | Var: 0.0176, W:3.6224
Epoch [300/1000], | TL: 0.3285, ML: 0.0301, BL: 0.2984, VL: 0.0000  | Var: 0.0227, W:2.9839
Epoch [400/1000], | TL: 0.2700, ML: 0.0203, BL: 0.2497, VL: 0.0000  | Var: 0.0279, W:2.4971
Epoch [500/1000], | TL: 0.2287, ML: 0.0151, BL: 0.2137, VL: 0.0000  | Var: 0.0325, W:2.1367
Epoch [600/1000], | TL: 0.1990, ML: 0.0119, BL: 0.1871, VL: 0.0000  | Var: 0.0365, W:1.8712
