Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.4448, ML: 0.0000, BL: 0.4448, VL: 0.0000  | Var: 0.0022, W:4.4480
Epoch [200/1000], | TL: 0.3972, ML: 0.0000, BL: 0.3972, VL: 0.0000  | Var: 0.0020, W:3.9715
Epoch [300/1000], | TL: 0.3524, ML: 0.0000, BL: 0.3524, VL: 0.0000  | Var: 0.0018, W:3.5236
Epoch [400/1000], | TL: 0.3113, ML: 0.0000, BL: 0.3113, VL: 0.0000  | Var: 0.0015, W:3.1130
Epoch [500/1000], | TL: 0.2744, ML: 0.0000, BL: 0.2744, VL: 0.0000  | Var: 0.0012, W:2.7443
Epoch [600/1000], | TL: 0.2418, ML: 0.0000, BL: 0.2418, VL: 0.0000  | Var: 0.0010, W:2.4183
Epoch [700/1000], | TL: 0.2133, ML: 0.0000, BL: 0.2133, VL: 0.0000  | Var: 0.0007, W:2.1333
Epoch [800/1000], | TL: 0.1886, ML: 0.0000, BL: 0.1886, VL: 0.0000  | Var: 0.0006, W:1.8858
Epoch [900/1000], | TL: 0.1672, ML: 0.0000, BL: 0.1672, VL: 0.0000  | Var: 0.0004, W:1.6719
Epoch [1000/1000], | TL: 0.1487, ML: 0.0000, BL: 0.1487, VL: 0.0000  | Var: 0.0003, W:1.4871
[0.50%] Candidate 1 took 1.4082s
Epoch [100/1000], | TL: 0.4618, ML: 0.0000, BL: 0.4618, VL: 0.0000  | Var: 0.0040, W:4.6182
Epoch [200/1000], | TL: 0.4138, ML: 0.0000, BL: 0.4138, VL: 0.0000  | Var: 0.0037, W:4.1384
Epoch [300/1000], | TL: 0.3683, ML: 0.0000, BL: 0.3683, VL: 0.0000  | Var: 0.0033, W:3.6826
Epoch [400/1000], | TL: 0.3261, ML: 0.0000, BL: 0.3261, VL: 0.0000  | Var: 0.0028, W:3.2607
Epoch [500/1000], | TL: 0.2879, ML: 0.0000, BL: 0.2879, VL: 0.0000  | Var: 0.0023, W:2.8786
Epoch [600/1000], | TL: 0.2539, ML: 0.0000, BL: 0.2539, VL: 0.0000  | Var: 0.0018, W:2.5386
Epoch [700/1000], | TL: 0.2240, ML: 0.0000, BL: 0.2240, VL: 0.0000  | Var: 0.0014, W:2.2398
Epoch [800/1000], | TL: 0.1980, ML: 0.0000, BL: 0.1980, VL: 0.0000  | Var: 0.0011, W:1.9796
Epoch [900/1000], | TL: 0.1754, ML: 0.0000, BL: 0.1754, VL: 0.0000  | Var: 0.0008, W:1.7540
Epoch [1000/1000], | TL: 0.1559, ML: 0.0000, BL: 0.1559, VL: 0.0000  | Var: 0.0007, W:1.5590
[1.00%] Candidate 2 took 1.3845s
Epoch [100/1000], | TL: 1.3955, ML: 0.9970, BL: 0.3985, VL: 0.0000  | Var: 0.0020, W:3.9849
Epoch [200/1000], | TL: 1.3291, ML: 0.9972, BL: 0.3320, VL: 0.0000  | Var: 0.0017, W:3.3196
Epoch [300/1000], | TL: 1.2717, ML: 0.9972, BL: 0.2745, VL: 0.0000  | Var: 0.0013, W:2.7446
Epoch [400/1000], | TL: 1.2240, ML: 0.9972, BL: 0.2267, VL: 0.0000  | Var: 0.0009, W:2.2672
Epoch [500/1000], | TL: 1.1853, ML: 0.9973, BL: 0.1881, VL: 0.0000  | Var: 0.0006, W:1.8806
Epoch [600/1000], | TL: 1.1544, ML: 0.9973, BL: 0.1571, VL: 0.0000  | Var: 0.0004, W:1.5711
Epoch [700/1000], | TL: 1.1297, ML: 0.9973, BL: 0.1324, VL: 0.0000  | Var: 0.0003, W:1.3240
Epoch [800/1000], | TL: 1.1099, ML: 0.9973, BL: 0.1126, VL: 0.0000  | Var: 0.0002, W:1.1260
Epoch [900/1000], | TL: 1.0939, ML: 0.9973, BL: 0.0966, VL: 0.0000  | Var: 0.0001, W:0.9663
Epoch [1000/1000], | TL: 1.0809, ML: 0.9973, BL: 0.0836, VL: 0.0000  | Var: 0.0001, W:0.8363
[1.50%] Candidate 3 took 1.3861s
Epoch [100/1000], | TL: 0.4459, ML: 0.0000, BL: 0.4459, VL: 0.0000  | Var: 0.0039, W:4.4595
Epoch [200/1000], | TL: 0.3986, ML: 0.0000, BL: 0.3986, VL: 0.0000  | Var: 0.0036, W:3.9855
Epoch [300/1000], | TL: 0.3539, ML: 0.0000, BL: 0.3539, VL: 0.0000  | Var: 0.0031, W:3.5391
Epoch [400/1000], | TL: 0.3129, ML: 0.0000, BL: 0.3129, VL: 0.0000  | Var: 0.0026, W:3.1288
Epoch [500/1000], | TL: 0.2760, ML: 0.0000, BL: 0.2760, VL: 0.0000  | Var: 0.0021, W:2.7596
Epoch [600/1000], | TL: 0.2432, ML: 0.0000, BL: 0.2432, VL: 0.0000  | Var: 0.0017, W:2.4324
