Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.5618, ML: 0.1107, BL: 0.4511, VL: 0.0000  | Var: 0.0028, W:4.5111
Epoch [200/1000], | TL: 0.4591, ML: 0.0479, BL: 0.4112, VL: 0.0000  | Var: 0.0049, W:4.1118
Epoch [300/1000], | TL: 0.3997, ML: 0.0268, BL: 0.3729, VL: 0.0000  | Var: 0.0074, W:3.7292
Epoch [400/1000], | TL: 0.3552, ML: 0.0176, BL: 0.3376, VL: 0.0000  | Var: 0.0100, W:3.3758
Epoch [500/1000], | TL: 0.3186, ML: 0.0128, BL: 0.3058, VL: 0.0000  | Var: 0.0126, W:3.0576
Epoch [600/1000], | TL: 0.2876, ML: 0.0100, BL: 0.2776, VL: 0.0000  | Var: 0.0152, W:2.7761
Epoch [700/1000], | TL: 0.2611, ML: 0.0081, BL: 0.2530, VL: 0.0000  | Var: 0.0176, W:2.5300
Epoch [800/1000], | TL: 0.2385, ML: 0.0068, BL: 0.2316, VL: 0.0000  | Var: 0.0199, W:2.3164
Epoch [900/1000], | TL: 0.2191, ML: 0.0059, BL: 0.2132, VL: 0.0000  | Var: 0.0219, W:2.1317
Epoch [1000/1000], | TL: 0.2025, ML: 0.0053, BL: 0.1972, VL: 0.0000  | Var: 0.0238, W:1.9723
[0.50%] Candidate 1 took 1.4290s
Epoch [100/1000], | TL: 1.0112, ML: 0.5484, BL: 0.4628, VL: 0.0000  | Var: 0.0026, W:4.6281
Epoch [200/1000], | TL: 0.6439, ML: 0.2187, BL: 0.4252, VL: 0.0000  | Var: 0.0035, W:4.2520
Epoch [300/1000], | TL: 0.4714, ML: 0.0837, BL: 0.3877, VL: 0.0000  | Var: 0.0056, W:3.8771
Epoch [400/1000], | TL: 0.3950, ML: 0.0433, BL: 0.3517, VL: 0.0000  | Var: 0.0079, W:3.5174
Epoch [500/1000], | TL: 0.3459, ML: 0.0272, BL: 0.3187, VL: 0.0000  | Var: 0.0102, W:3.1869
Epoch [600/1000], | TL: 0.3083, ML: 0.0192, BL: 0.2891, VL: 0.0000  | Var: 0.0126, W:2.8910
Epoch [700/1000], | TL: 0.2776, ML: 0.0146, BL: 0.2630, VL: 0.0000  | Var: 0.0150, W:2.6303
Epoch [800/1000], | TL: 0.2519, ML: 0.0116, BL: 0.2403, VL: 0.0000  | Var: 0.0172, W:2.4029
Epoch [900/1000], | TL: 0.2302, ML: 0.0096, BL: 0.2206, VL: 0.0000  | Var: 0.0192, W:2.2058
Epoch [1000/1000], | TL: 0.2117, ML: 0.0082, BL: 0.2035, VL: 0.0000  | Var: 0.0211, W:2.0354
[1.00%] Candidate 2 took 1.3812s
Epoch [100/1000], | TL: 0.5203, ML: 0.0691, BL: 0.4513, VL: 0.0000  | Var: 0.0060, W:4.5128
Epoch [200/1000], | TL: 0.4420, ML: 0.0304, BL: 0.4116, VL: 0.0000  | Var: 0.0078, W:4.1160
Epoch [300/1000], | TL: 0.3911, ML: 0.0176, BL: 0.3735, VL: 0.0000  | Var: 0.0097, W:3.7354
Epoch [400/1000], | TL: 0.3502, ML: 0.0119, BL: 0.3383, VL: 0.0000  | Var: 0.0117, W:3.3829
Epoch [500/1000], | TL: 0.3153, ML: 0.0089, BL: 0.3064, VL: 0.0000  | Var: 0.0137, W:3.0641
Epoch [600/1000], | TL: 0.2851, ML: 0.0071, BL: 0.2781, VL: 0.0000  | Var: 0.0157, W:2.7809
Epoch [700/1000], | TL: 0.2591, ML: 0.0059, BL: 0.2532, VL: 0.0000  | Var: 0.0177, W:2.5323
Epoch [800/1000], | TL: 0.2367, ML: 0.0051, BL: 0.2316, VL: 0.0000  | Var: 0.0195, W:2.3160
Epoch [900/1000], | TL: 0.2173, ML: 0.0045, BL: 0.2129, VL: 0.0000  | Var: 0.0212, W:2.1285
Epoch [1000/1000], | TL: 0.2007, ML: 0.0040, BL: 0.1966, VL: 0.0000  | Var: 0.0228, W:1.9664
[1.50%] Candidate 3 took 1.3904s
Epoch [100/1000], | TL: 0.4655, ML: 0.0000, BL: 0.4655, VL: 0.0000  | Var: 0.0006, W:4.6548
Epoch [200/1000], | TL: 0.4409, ML: 0.0000, BL: 0.4409, VL: 0.0000  | Var: 0.0006, W:4.4087
Epoch [300/1000], | TL: 0.4167, ML: 0.0000, BL: 0.4167, VL: 0.0000  | Var: 0.0006, W:4.1671
Epoch [400/1000], | TL: 0.3932, ML: 0.0000, BL: 0.3932, VL: 0.0000  | Var: 0.0005, W:3.9316
Epoch [500/1000], | TL: 0.3704, ML: 0.0000, BL: 0.3704, VL: 0.0000  | Var: 0.0005, W:3.7036
Epoch [600/1000], | TL: 0.3484, ML: 0.0000, BL: 0.3484, VL: 0.0000  | Var: 0.0005, W:3.4844
Epoch [700/1000], | TL: 0.3275, ML: 0.0000, BL: 0.3275, VL: 0.0000  | Var: 0.0004, W:3.2747
Epoch [800/1000], | TL: 0.3075, ML: 0.0000, BL: 0.3075, VL: 0.0000  | Var: 0.0004, W:3.0753
Epoch [900/1000], | TL: 0.2886, ML: 0.0000, BL: 0.2886, VL: 0.0000  | Var: 0.0004, W:2.8863
Epoch [1000/1000], | TL: 0.2708, ML: 0.0000, BL: 0.2708, VL: 0.0000  | Var: 0.0003, W:2.7079
[2.00%] Candidate 4 took 1.4009s
Epoch [100/1000], | TL: 0.4882, ML: 0.0086, BL: 0.4796, VL: 0.0000  | Var: 0.0072, W:4.7963
Epoch [200/1000], | TL: 0.4430, ML: 0.0050, BL: 0.4380, VL: 0.0000  | Var: 0.0098, W:4.3803
Epoch [300/1000], | TL: 0.4017, ML: 0.0038, BL: 0.3979, VL: 0.0000  | Var: 0.0124, W:3.9794
Epoch [400/1000], | TL: 0.3639, ML: 0.0033, BL: 0.3606, VL: 0.0000  | Var: 0.0149, W:3.6060
Epoch [500/1000], | TL: 0.3297, ML: 0.0030, BL: 0.3267, VL: 0.0000  | Var: 0.0174, W:3.2668
Epoch [600/1000], | TL: 0.2994, ML: 0.0029, BL: 0.2964, VL: 0.0000  | Var: 0.0197, W:2.9644
Epoch [700/1000], | TL: 0.2727, ML: 0.0029, BL: 0.2699, VL: 0.0000  | Var: 0.0219, W:2.6986
Epoch [800/1000], | TL: 0.2495, ML: 0.0028, BL: 0.2467, VL: 0.0000  | Var: 0.0240, W:2.4669
Epoch [900/1000], | TL: 0.2295, ML: 0.0028, BL: 0.2266, VL: 0.0000  | Var: 0.0259, W:2.2662
Epoch [1000/1000], | TL: 0.2121, ML: 0.0028, BL: 0.2093, VL: 0.0000  | Var: 0.0276, W:2.0926
[2.50%] Candidate 5 took 1.4024s
Epoch [100/1000], | TL: 0.4685, ML: 0.0000, BL: 0.4685, VL: 0.0000  | Var: 0.0019, W:4.6849
Epoch [200/1000], | TL: 0.4440, ML: 0.0000, BL: 0.4440, VL: 0.0000  | Var: 0.0019, W:4.4397
Epoch [300/1000], | TL: 0.4199, ML: 0.0000, BL: 0.4199, VL: 0.0000  | Var: 0.0018, W:4.1986
Epoch [400/1000], | TL: 0.3963, ML: 0.0000, BL: 0.3963, VL: 0.0000  | Var: 0.0017, W:3.9634
Epoch [500/1000], | TL: 0.3735, ML: 0.0000, BL: 0.3735, VL: 0.0000  | Var: 0.0016, W:3.7355
Epoch [600/1000], | TL: 0.3516, ML: 0.0000, BL: 0.3516, VL: 0.0000  | Var: 0.0015, W:3.5159
