Running LSaliency saliency . . .
Epoch [100/1000], | TL: 0.8366, ML: 0.3309, BL: 0.5057, VL: 0.0000  | Var: 0.0152, W:5.0568
Epoch [200/1000], | TL: 0.5192, ML: 0.0613, BL: 0.4579, VL: 0.0000  | Var: 0.0268, W:4.5788
Epoch [300/1000], | TL: 0.4382, ML: 0.0280, BL: 0.4103, VL: 0.0000  | Var: 0.0370, W:4.1026
Epoch [400/1000], | TL: 0.3861, ML: 0.0175, BL: 0.3686, VL: 0.0000  | Var: 0.0465, W:3.6865
Epoch [500/1000], | TL: 0.3467, ML: 0.0126, BL: 0.3340, VL: 0.0000  | Var: 0.0551, W:3.3404
Epoch [600/1000], | TL: 0.3159, ML: 0.0099, BL: 0.3060, VL: 0.0000  | Var: 0.0626, W:3.0596
Epoch [700/1000], | TL: 0.2916, ML: 0.0082, BL: 0.2834, VL: 0.0000  | Var: 0.0690, W:2.8341
Epoch [800/1000], | TL: 0.2723, ML: 0.0070, BL: 0.2653, VL: 0.0000  | Var: 0.0745, W:2.6533
Epoch [900/1000], | TL: 0.2570, ML: 0.0062, BL: 0.2508, VL: 0.0000  | Var: 0.0790, W:2.5078
Epoch [1000/1000], | TL: 0.2446, ML: 0.0056, BL: 0.2390, VL: 0.0000  | Var: 0.0828, W:2.3897
[0.50%] Candidate 1 took 1.4077s
Epoch [100/1000], | TL: 0.4608, ML: 0.0000, BL: 0.4608, VL: 0.0000  | Var: 0.0071, W:4.6075
Epoch [200/1000], | TL: 0.4134, ML: 0.0000, BL: 0.4134, VL: 0.0000  | Var: 0.0066, W:4.1336
Epoch [300/1000], | TL: 0.3682, ML: 0.0000, BL: 0.3682, VL: 0.0000  | Var: 0.0058, W:3.6824
Epoch [400/1000], | TL: 0.3264, ML: 0.0000, BL: 0.3264, VL: 0.0000  | Var: 0.0049, W:3.2637
Epoch [500/1000], | TL: 0.2883, ML: 0.0000, BL: 0.2883, VL: 0.0000  | Var: 0.0040, W:2.8833
Epoch [600/1000], | TL: 0.2544, ML: 0.0000, BL: 0.2544, VL: 0.0000  | Var: 0.0032, W:2.5438
Epoch [700/1000], | TL: 0.2245, ML: 0.0000, BL: 0.2245, VL: 0.0000  | Var: 0.0025, W:2.2448
Epoch [800/1000], | TL: 0.1984, ML: 0.0000, BL: 0.1984, VL: 0.0000  | Var: 0.0019, W:1.9839
Epoch [900/1000], | TL: 0.1758, ML: 0.0000, BL: 0.1758, VL: 0.0000  | Var: 0.0015, W:1.7575
Epoch [1000/1000], | TL: 0.1562, ML: 0.0000, BL: 0.1562, VL: 0.0000  | Var: 0.0011, W:1.5617
[1.00%] Candidate 2 took 1.3840s
Epoch [100/1000], | TL: 1.4275, ML: 0.9966, BL: 0.4308, VL: 0.0000  | Var: 0.0046, W:4.3082
Epoch [200/1000], | TL: 1.3584, ML: 0.9970, BL: 0.3614, VL: 0.0000  | Var: 0.0040, W:3.6139
Epoch [300/1000], | TL: 1.2972, ML: 0.9972, BL: 0.3000, VL: 0.0000  | Var: 0.0031, W:3.0001
Epoch [400/1000], | TL: 1.2454, ML: 0.9972, BL: 0.2482, VL: 0.0000  | Var: 0.0022, W:2.4817
Epoch [500/1000], | TL: 1.2029, ML: 0.9972, BL: 0.2057, VL: 0.0000  | Var: 0.0015, W:2.0570
Epoch [600/1000], | TL: 1.1687, ML: 0.9972, BL: 0.1715, VL: 0.0000  | Var: 0.0010, W:1.7149
Epoch [700/1000], | TL: 1.1414, ML: 0.9973, BL: 0.1441, VL: 0.0000  | Var: 0.0007, W:1.4412
Epoch [800/1000], | TL: 1.1195, ML: 0.9973, BL: 0.1222, VL: 0.0000  | Var: 0.0005, W:1.2221
Epoch [900/1000], | TL: 1.1018, ML: 0.9973, BL: 0.1046, VL: 0.0000  | Var: 0.0003, W:1.0456
Epoch [1000/1000], | TL: 1.0875, ML: 0.9973, BL: 0.0902, VL: 0.0000  | Var: 0.0002, W:0.9024
[1.50%] Candidate 3 took 1.3805s
Epoch [100/1000], | TL: 0.4325, ML: 0.0000, BL: 0.4325, VL: 0.0000  | Var: 0.0020, W:4.3252
Epoch [200/1000], | TL: 0.3854, ML: 0.0000, BL: 0.3854, VL: 0.0000  | Var: 0.0018, W:3.8538
Epoch [300/1000], | TL: 0.3414, ML: 0.0000, BL: 0.3414, VL: 0.0000  | Var: 0.0016, W:3.4136
Epoch [400/1000], | TL: 0.3012, ML: 0.0000, BL: 0.3012, VL: 0.0000  | Var: 0.0013, W:3.0122
Epoch [500/1000], | TL: 0.2653, ML: 0.0000, BL: 0.2653, VL: 0.0000  | Var: 0.0011, W:2.6534
Epoch [600/1000], | TL: 0.2337, ML: 0.0000, BL: 0.2337, VL: 0.0000  | Var: 0.0008, W:2.3373
Epoch [700/1000], | TL: 0.2062, ML: 0.0000, BL: 0.2062, VL: 0.0000  | Var: 0.0006, W:2.0617
Epoch [800/1000], | TL: 0.1823, ML: 0.0000, BL: 0.1823, VL: 0.0000  | Var: 0.0005, W:1.8229
Epoch [900/1000], | TL: 0.1617, ML: 0.0000, BL: 0.1617, VL: 0.0000  | Var: 0.0004, W:1.6166
Epoch [1000/1000], | TL: 0.1439, ML: 0.0000, BL: 0.1439, VL: 0.0000  | Var: 0.0003, W:1.4385
[2.00%] Candidate 4 took 1.3754s
Epoch [100/1000], | TL: 1.4125, ML: 0.9962, BL: 0.4162, VL: 0.0000  | Var: 0.0063, W:4.1624
Epoch [200/1000], | TL: 1.3443, ML: 0.9969, BL: 0.3474, VL: 0.0000  | Var: 0.0052, W:3.4742
Epoch [300/1000], | TL: 1.2845, ML: 0.9971, BL: 0.2875, VL: 0.0000  | Var: 0.0040, W:2.8746
Epoch [400/1000], | TL: 1.2345, ML: 0.9971, BL: 0.2373, VL: 0.0000  | Var: 0.0028, W:2.3733
Epoch [500/1000], | TL: 1.1937, ML: 0.9972, BL: 0.1965, VL: 0.0000  | Var: 0.0019, W:1.9653
Epoch [600/1000], | TL: 1.1610, ML: 0.9972, BL: 0.1638, VL: 0.0000  | Var: 0.0013, W:1.6380
Epoch [700/1000], | TL: 1.1349, ML: 0.9972, BL: 0.1377, VL: 0.0000  | Var: 0.0009, W:1.3768
Epoch [800/1000], | TL: 1.1140, ML: 0.9972, BL: 0.1168, VL: 0.0000  | Var: 0.0006, W:1.1679
Epoch [900/1000], | TL: 1.0972, ML: 0.9972, BL: 0.1000, VL: 0.0000  | Var: 0.0004, W:0.9997
Epoch [1000/1000], | TL: 1.0835, ML: 0.9972, BL: 0.0863, VL: 0.0000  | Var: 0.0003, W:0.8633
[2.50%] Candidate 5 took 1.3417s
Epoch [100/1000], | TL: 1.4242, ML: 0.9953, BL: 0.4289, VL: 0.0000  | Var: 0.0063, W:4.2889
Epoch [200/1000], | TL: 1.3548, ML: 0.9960, BL: 0.3588, VL: 0.0000  | Var: 0.0051, W:3.5876
Epoch [300/1000], | TL: 1.2934, ML: 0.9962, BL: 0.2972, VL: 0.0000  | Var: 0.0038, W:2.9716
Epoch [400/1000], | TL: 1.2417, ML: 0.9963, BL: 0.2454, VL: 0.0000  | Var: 0.0027, W:2.4539
Epoch [500/1000], | TL: 1.1994, ML: 0.9963, BL: 0.2031, VL: 0.0000  | Var: 0.0018, W:2.0314
Epoch [600/1000], | TL: 1.1655, ML: 0.9963, BL: 0.1692, VL: 0.0000  | Var: 0.0012, W:1.6921
Epoch [700/1000], | TL: 1.1385, ML: 0.9963, BL: 0.1421, VL: 0.0000  | Var: 0.0008, W:1.4212
Epoch [800/1000], | TL: 1.1168, ML: 0.9963, BL: 0.1205, VL: 0.0000  | Var: 0.0006, W:1.2046
Epoch [900/1000], | TL: 1.0994, ML: 0.9963, BL: 0.1030, VL: 0.0000  | Var: 0.0004, W:1.0304
Epoch [1000/1000], | TL: 1.0853, ML: 0.9964, BL: 0.0889, VL: 0.0000  | Var: 0.0003, W:0.8892
[3.00%] Candidate 6 took 1.3674s
Epoch [100/1000], | TL: 0.4512, ML: 0.0000, BL: 0.4512, VL: 0.0000  | Var: 0.0046, W:4.5124
Epoch [200/1000], | TL: 0.4038, ML: 0.0000, BL: 0.4037, VL: 0.0000  | Var: 0.0042, W:4.0375
Epoch [300/1000], | TL: 0.3589, ML: 0.0000, BL: 0.3589, VL: 0.0000  | Var: 0.0037, W:3.5885
Epoch [400/1000], | TL: 0.3175, ML: 0.0000, BL: 0.3175, VL: 0.0000  | Var: 0.0031, W:3.1747
Epoch [500/1000], | TL: 0.2801, ML: 0.0000, BL: 0.2801, VL: 0.0000  | Var: 0.0025, W:2.8011
Epoch [600/1000], | TL: 0.2470, ML: 0.0000, BL: 0.2470, VL: 0.0000  | Var: 0.0020, W:2.4696
Epoch [700/1000], | TL: 0.2179, ML: 0.0000, BL: 0.2179, VL: 0.0000  | Var: 0.0015, W:2.1788
Epoch [800/1000], | TL: 0.1926, ML: 0.0000, BL: 0.1926, VL: 0.0000  | Var: 0.0012, W:1.9258
Epoch [900/1000], | TL: 0.1707, ML: 0.0000, BL: 0.1707, VL: 0.0000  | Var: 0.0009, W:1.7068
Epoch [1000/1000], | TL: 0.1517, ML: 0.0000, BL: 0.1517, VL: 0.0000  | Var: 0.0007, W:1.5175
[3.50%] Candidate 7 took 1.3815s
Epoch [100/1000], | TL: 1.0909, ML: 0.6298, BL: 0.4611, VL: 0.0000  | Var: 0.0204, W:4.6114
Epoch [200/1000], | TL: 0.4999, ML: 0.0772, BL: 0.4227, VL: 0.0000  | Var: 0.0353, W:4.2269
Epoch [300/1000], | TL: 0.4104, ML: 0.0297, BL: 0.3807, VL: 0.0000  | Var: 0.0458, W:3.8073
