Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 9,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 9
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      9
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=9, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[20/200] | Loss:0.0124 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9886 | C 1:0.9855 | C 2:0.9850| C 3:0.9847| C 4:0.9829| C 5:0.9882| C 6:0.9889| C 7:0.9920| C 8:0.9915| C 9:nan| C 10:nan| C 11:nan
Epoch[21/200] | Loss:0.0112 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9897 | C 1:0.9870 | C 2:0.9866| C 3:0.9862| C 4:0.9846| C 5:0.9894| C 6:0.9900| C 7:0.9927| C 8:0.9923| C 9:nan| C 10:nan| C 11:nan
Epoch[22/200] | Loss:0.0101 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9907 | C 1:0.9882 | C 2:0.9879| C 3:0.9876| C 4:0.9861| C 5:0.9904| C 6:0.9909| C 7:0.9934| C 8:0.9930| C 9:nan| C 10:nan| C 11:nan
Epoch[23/200] | Loss:0.0092 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9915 | C 1:0.9893 | C 2:0.9890| C 3:0.9887| C 4:0.9873| C 5:0.9913| C 6:0.9918| C 7:0.9940| C 8:0.9936| C 9:nan| C 10:nan| C 11:nan
Epoch[24/200] | Loss:0.0084 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9923 | C 1:0.9902 | C 2:0.9900| C 3:0.9897| C 4:0.9884| C 5:0.9921| C 6:0.9925| C 7:0.9945| C 8:0.9942| C 9:nan| C 10:nan| C 11:nan
Epoch[25/200] | Loss:0.0077 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9929 | C 1:0.9911 | C 2:0.9908| C 3:0.9906| C 4:0.9894| C 5:0.9928| C 6:0.9931| C 7:0.9950| C 8:0.9946| C 9:nan| C 10:nan| C 11:nan
Epoch[26/200] | Loss:0.0070 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9935 | C 1:0.9918 | C 2:0.9916| C 3:0.9914| C 4:0.9903| C 5:0.9934| C 6:0.9937| C 7:0.9954| C 8:0.9951| C 9:nan| C 10:nan| C 11:nan
Epoch[27/200] | Loss:0.0065 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9940 | C 1:0.9925 | C 2:0.9923| C 3:0.9921| C 4:0.9910| C 5:0.9939| C 6:0.9942| C 7:0.9957| C 8:0.9954| C 9:nan| C 10:nan| C 11:nan
Epoch[28/200] | Loss:0.0060 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9945 | C 1:0.9930 | C 2:0.9929| C 3:0.9927| C 4:0.9917| C 5:0.9944| C 6:0.9946| C 7:0.9960| C 8:0.9958| C 9:nan| C 10:nan| C 11:nan
Epoch[29/200] | Loss:0.0055 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9949 | C 1:0.9936 | C 2:0.9934| C 3:0.9932| C 4:0.9923| C 5:0.9948| C 6:0.9950| C 7:0.9963| C 8:0.9961| C 9:nan| C 10:nan| C 11:nan
Epoch[30/200] | Loss:0.0051 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9953 | C 1:0.9940 | C 2:0.9939| C 3:0.9937| C 4:0.9929| C 5:0.9952| C 6:0.9954| C 7:0.9966| C 8:0.9964| C 9:nan| C 10:nan| C 11:nan
Epoch[31/200] | Loss:0.0048 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9956 | C 1:0.9945 | C 2:0.9943| C 3:0.9942| C 4:0.9934| C 5:0.9955| C 6:0.9957| C 7:0.9968| C 8:0.9966| C 9:nan| C 10:nan| C 11:nan
Epoch[32/200] | Loss:0.0044 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9959 | C 1:0.9948 | C 2:0.9947| C 3:0.9946| C 4:0.9938| C 5:0.9958| C 6:0.9960| C 7:0.9970| C 8:0.9968| C 9:nan| C 10:nan| C 11:nan
Epoch[33/200] | Loss:0.0041 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9962 | C 1:0.9952 | C 2:0.9951| C 3:0.9949| C 4:0.9942| C 5:0.9961| C 6:0.9963| C 7:0.9972| C 8:0.9970| C 9:nan| C 10:nan| C 11:nan
Epoch[34/200] | Loss:0.0039 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9964 | C 1:0.9955 | C 2:0.9954| C 3:0.9953| C 4:0.9946| C 5:0.9964| C 6:0.9965| C 7:0.9974| C 8:0.9972| C 9:nan| C 10:nan| C 11:nan
Epoch[35/200] | Loss:0.0036 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9966 | C 1:0.9958 | C 2:0.9957| C 3:0.9956| C 4:0.9949| C 5:0.9966| C 6:0.9968| C 7:0.9976| C 8:0.9974| C 9:nan| C 10:nan| C 11:nan
Epoch[36/200] | Loss:0.0034 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9969 | C 1:0.9961 | C 2:0.9960| C 3:0.9959| C 4:0.9953| C 5:0.9968| C 6:0.9970| C 7:0.9977| C 8:0.9976| C 9:nan| C 10:nan| C 11:nan
Epoch[37/200] | Loss:0.0032 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9970 | C 1:0.9963 | C 2:0.9962| C 3:0.9961| C 4:0.9955| C 5:0.9970| C 6:0.9972| C 7:0.9978| C 8:0.9977| C 9:nan| C 10:nan| C 11:nan
Epoch[38/200] | Loss:0.0030 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9972 | C 1:0.9965 | C 2:0.9964| C 3:0.9964| C 4:0.9958| C 5:0.9972| C 6:0.9973| C 7:0.9980| C 8:0.9978| C 9:nan| C 10:nan| C 11:nan
Epoch[39/200] | Loss:0.0028 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9974 | C 1:0.9967 | C 2:0.9967| C 3:0.9966| C 4:0.9961| C 5:0.9974| C 6:0.9975| C 7:0.9981| C 8:0.9980| C 9:nan| C 10:nan| C 11:nan
Epoch[40/200] | Loss:0.0027 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9975 | C 1:0.9969 | C 2:0.9968| C 3:0.9968| C 4:0.9963| C 5:0.9975| C 6:0.9976| C 7:0.9982| C 8:0.9981| C 9:nan| C 10:nan| C 11:nan
Epoch[41/200] | Loss:0.0025 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9977 | C 1:0.9971 | C 2:0.9970| C 3:0.9970| C 4:0.9965| C 5:0.9977| C 6:0.9978| C 7:0.9983| C 8:0.9982| C 9:nan| C 10:nan| C 11:nan
Epoch[42/200] | Loss:0.0024 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9978 | C 1:0.9973 | C 2:0.9972| C 3:0.9971| C 4:0.9967| C 5:0.9978| C 6:0.9979| C 7:0.9984| C 8:0.9983| C 9:nan| C 10:nan| C 11:nan
Epoch[43/200] | Loss:0.0022 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9979 | C 1:0.9974 | C 2:0.9974| C 3:0.9973| C 4:0.9969| C 5:0.9979| C 6:0.9980| C 7:0.9985| C 8:0.9984| C 9:nan| C 10:nan| C 11:nan
Epoch[44/200] | Loss:0.0021 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9980 | C 1:0.9976 | C 2:0.9975| C 3:0.9974| C 4:0.9971| C 5:0.9981| C 6:0.9981| C 7:0.9986| C 8:0.9985| C 9:nan| C 10:nan| C 11:nan
