Running LSaliency saliency . . .
Epoch [100/1000], | TL: 1.1481, ML: 0.9976, BL: 0.1505, VL: 0.0000  | Var: 0.0005, W:15.0532
Epoch [200/1000], | TL: 1.0567, ML: 0.9976, BL: 0.0591, VL: 0.0000  | Var: 0.0000, W:5.9067
Epoch [300/1000], | TL: 1.0298, ML: 0.9976, BL: 0.0321, VL: 0.0000  | Var: 0.0000, W:3.2148
Epoch [400/1000], | TL: 1.0183, ML: 0.9976, BL: 0.0206, VL: 0.0000  | Var: 0.0000, W:2.0632
Epoch [500/1000], | TL: 1.0122, ML: 0.9976, BL: 0.0145, VL: 0.0000  | Var: 0.0000, W:1.4548
Epoch [600/1000], | TL: 1.0085, ML: 0.9976, BL: 0.0109, VL: 0.0000  | Var: 0.0000, W:1.0896
Epoch [700/1000], | TL: 1.0061, ML: 0.9976, BL: 0.0085, VL: 0.0000  | Var: 0.0000, W:0.8509
Epoch [800/1000], | TL: 1.0045, ML: 0.9976, BL: 0.0069, VL: 0.0000  | Var: 0.0000, W:0.6852
Epoch [900/1000], | TL: 1.0033, ML: 0.9976, BL: 0.0056, VL: 0.0000  | Var: 0.0000, W:0.5647
Epoch [1000/1000], | TL: 1.0024, ML: 0.9976, BL: 0.0047, VL: 0.0000  | Var: 0.0000, W:0.4741
[0.50%] Candidate 1 took 33.6948s
Epoch [100/1000], | TL: 0.2724, ML: 0.0000, BL: 0.2724, VL: 0.0000  | Var: 0.0009, W:27.2412
Epoch [200/1000], | TL: 0.1439, ML: 0.0000, BL: 0.1439, VL: 0.0000  | Var: 0.0002, W:14.3942
Epoch [300/1000], | TL: 0.0854, ML: 0.0000, BL: 0.0854, VL: 0.0000  | Var: 0.0001, W:8.5440
Epoch [400/1000], | TL: 0.0564, ML: 0.0000, BL: 0.0564, VL: 0.0000  | Var: 0.0000, W:5.6437
Epoch [500/1000], | TL: 0.0402, ML: 0.0000, BL: 0.0402, VL: 0.0000  | Var: 0.0000, W:4.0228
Epoch [600/1000], | TL: 0.0303, ML: 0.0000, BL: 0.0303, VL: 0.0000  | Var: 0.0000, W:3.0256
Epoch [700/1000], | TL: 0.0237, ML: 0.0000, BL: 0.0237, VL: 0.0000  | Var: 0.0000, W:2.3662
Epoch [800/1000], | TL: 0.0191, ML: 0.0000, BL: 0.0191, VL: 0.0000  | Var: 0.0000, W:1.9058
Epoch [900/1000], | TL: 0.0157, ML: 0.0000, BL: 0.0157, VL: 0.0000  | Var: 0.0000, W:1.5703
Epoch [1000/1000], | TL: 0.0132, ML: 0.0000, BL: 0.0132, VL: 0.0000  | Var: 0.0000, W:1.3176
[1.00%] Candidate 2 took 33.7334s
Epoch [100/1000], | TL: 1.1473, ML: 0.9976, BL: 0.1497, VL: 0.0000  | Var: 0.0005, W:14.9710
Epoch [200/1000], | TL: 1.0568, ML: 0.9976, BL: 0.0591, VL: 0.0000  | Var: 0.0001, W:5.9134
Epoch [300/1000], | TL: 1.0299, ML: 0.9976, BL: 0.0323, VL: 0.0000  | Var: 0.0000, W:3.2254
Epoch [400/1000], | TL: 1.0184, ML: 0.9976, BL: 0.0207, VL: 0.0000  | Var: 0.0000, W:2.0719
Epoch [500/1000], | TL: 1.0123, ML: 0.9976, BL: 0.0146, VL: 0.0000  | Var: 0.0000, W:1.4617
Epoch [600/1000], | TL: 1.0086, ML: 0.9976, BL: 0.0110, VL: 0.0000  | Var: 0.0000, W:1.0951
Epoch [700/1000], | TL: 1.0062, ML: 0.9976, BL: 0.0086, VL: 0.0000  | Var: 0.0000, W:0.8554
Epoch [800/1000], | TL: 1.0045, ML: 0.9976, BL: 0.0069, VL: 0.0000  | Var: 0.0000, W:0.6888
Epoch [900/1000], | TL: 1.0033, ML: 0.9976, BL: 0.0057, VL: 0.0000  | Var: 0.0000, W:0.5678
Epoch [1000/1000], | TL: 1.0024, ML: 0.9976, BL: 0.0048, VL: 0.0000  | Var: 0.0000, W:0.4767
[1.50%] Candidate 3 took 33.6999s
Epoch [100/1000], | TL: 1.1453, ML: 0.9977, BL: 0.1476, VL: 0.0000  | Var: 0.0005, W:14.7629
Epoch [200/1000], | TL: 1.0558, ML: 0.9977, BL: 0.0581, VL: 0.0000  | Var: 0.0001, W:5.8116
Epoch [300/1000], | TL: 1.0294, ML: 0.9977, BL: 0.0317, VL: 0.0000  | Var: 0.0000, W:3.1686
Epoch [400/1000], | TL: 1.0181, ML: 0.9977, BL: 0.0204, VL: 0.0000  | Var: 0.0000, W:2.0354
Epoch [500/1000], | TL: 1.0121, ML: 0.9977, BL: 0.0144, VL: 0.0000  | Var: 0.0000, W:1.4360
Epoch [600/1000], | TL: 1.0085, ML: 0.9977, BL: 0.0108, VL: 0.0000  | Var: 0.0000, W:1.0759
Epoch [700/1000], | TL: 1.0061, ML: 0.9977, BL: 0.0084, VL: 0.0000  | Var: 0.0000, W:0.8404
Epoch [800/1000], | TL: 1.0045, ML: 0.9977, BL: 0.0068, VL: 0.0000  | Var: 0.0000, W:0.6768
Epoch [900/1000], | TL: 1.0033, ML: 0.9977, BL: 0.0056, VL: 0.0000  | Var: 0.0000, W:0.5579
Epoch [1000/1000], | TL: 1.0024, ML: 0.9977, BL: 0.0047, VL: 0.0000  | Var: 0.0000, W:0.4684
[2.00%] Candidate 4 took 33.8083s
Epoch [100/1000], | TL: 1.1471, ML: 0.9976, BL: 0.1495, VL: 0.0000  | Var: 0.0004, W:14.9456
Epoch [200/1000], | TL: 1.0564, ML: 0.9976, BL: 0.0588, VL: 0.0000  | Var: 0.0000, W:5.8793
Epoch [300/1000], | TL: 1.0296, ML: 0.9976, BL: 0.0320, VL: 0.0000  | Var: 0.0000, W:3.2036
Epoch [400/1000], | TL: 1.0182, ML: 0.9976, BL: 0.0206, VL: 0.0000  | Var: 0.0000, W:2.0571
