Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[19/100] | Loss:0.0185 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9894 | C 1:0.9823 | C 2:0.9794| C 3:0.9784| C 4:0.9804| C 5:0.9809| C 6:0.9856| C 7:0.9831| C 8:0.9761| C 9:0.9790| C 10:nan| C 11:nan
Epoch[20/100] | Loss:0.0165 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9906 | C 1:0.9843 | C 2:0.9816| C 3:0.9808| C 4:0.9824| C 5:0.9829| C 6:0.9872| C 7:0.9849| C 8:0.9787| C 9:0.9813| C 10:nan| C 11:nan
Epoch[21/100] | Loss:0.0148 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9915 | C 1:0.9859 | C 2:0.9835| C 3:0.9827| C 4:0.9842| C 5:0.9846| C 6:0.9884| C 7:0.9864| C 8:0.9809| C 9:0.9833| C 10:nan| C 11:nan
Epoch[22/100] | Loss:0.0133 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9923 | C 1:0.9873 | C 2:0.9852| C 3:0.9844| C 4:0.9857| C 5:0.9861| C 6:0.9896| C 7:0.9877| C 8:0.9828| C 9:0.9850| C 10:nan| C 11:nan
Epoch[23/100] | Loss:0.0121 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9930 | C 1:0.9886 | C 2:0.9865| C 3:0.9859| C 4:0.9870| C 5:0.9874| C 6:0.9905| C 7:0.9889| C 8:0.9844| C 9:0.9865| C 10:nan| C 11:nan
Epoch[24/100] | Loss:0.0110 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9936 | C 1:0.9896 | C 2:0.9878| C 3:0.9871| C 4:0.9881| C 5:0.9885| C 6:0.9914| C 7:0.9898| C 8:0.9858| C 9:0.9877| C 10:nan| C 11:nan
Epoch[25/100] | Loss:0.0100 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9941 | C 1:0.9905 | C 2:0.9888| C 3:0.9882| C 4:0.9891| C 5:0.9895| C 6:0.9921| C 7:0.9907| C 8:0.9871| C 9:0.9888| C 10:nan| C 11:nan
Epoch[26/100] | Loss:0.0092 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9946 | C 1:0.9913 | C 2:0.9898| C 3:0.9892| C 4:0.9900| C 5:0.9904| C 6:0.9927| C 7:0.9915| C 8:0.9881| C 9:0.9898| C 10:nan| C 11:nan
Epoch[27/100] | Loss:0.0085 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9950 | C 1:0.9920 | C 2:0.9906| C 3:0.9901| C 4:0.9908| C 5:0.9911| C 6:0.9933| C 7:0.9921| C 8:0.9891| C 9:0.9906| C 10:nan| C 11:nan
Epoch[28/100] | Loss:0.0078 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9954 | C 1:0.9927 | C 2:0.9913| C 3:0.9909| C 4:0.9915| C 5:0.9918| C 6:0.9938| C 7:0.9927| C 8:0.9899| C 9:0.9914| C 10:nan| C 11:nan
