columns are
Index(['att1', 'att2', 'att3', 'att4', 'att5', 'att6', 'att7', 'att8', 'att9',
       'att10',
       ...
       'att1016', 'att1017', 'att1018', 'att1019', 'att1020', 'att1021',
       'att1022', 'att1023', 'att1024', 'target'],
      dtype='object', length=1025)
Loading test data . . .
Loading meta file . . .
Meta file loaded successfully
Hyperparams:

{
  "loss": "mse",
  "learning_rate": 0.005,
  "num_epochs": 150,
  "num_classes": 5,
  "batch_size": 10,
  "model_save_path": "/Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/trained_models//all_bbms/",
  "model_name": "MixedShapes_cnn_mse"
}



Epoch [59/150] 39.33% | Loss: 0.0252 |  Accuracy: 0.91 | Confidence: 0.94
Epoch [60/150] 40.00% | Loss: 0.0222 |  Accuracy: 0.92 | Confidence: 0.90
Epoch [61/150] 40.67% | Loss: 0.0229 |  Accuracy: 0.89 | Confidence: 0.91
Epoch [62/150] 41.33% | Loss: 0.0171 |  Accuracy: 0.97 | Confidence: 0.89
Epoch [63/150] 42.00% | Loss: 0.0163 |  Accuracy: 0.96 | Confidence: 0.90
Epoch [64/150] 42.67% | Loss: 0.0207 |  Accuracy: 0.94 | Confidence: 0.91
Epoch [65/150] 43.33% | Loss: 0.0147 |  Accuracy: 0.97 | Confidence: 0.89
Epoch [66/150] 44.00% | Loss: 0.0199 |  Accuracy: 0.94 | Confidence: 0.90
Epoch [67/150] 44.67% | Loss: 0.0169 |  Accuracy: 0.96 | Confidence: 0.90
Epoch [68/150] 45.33% | Loss: 0.0173 |  Accuracy: 0.95 | Confidence: 0.91
Epoch [69/150] 46.00% | Loss: 0.0158 |  Accuracy: 0.95 | Confidence: 0.91
Epoch [70/150] 46.67% | Loss: 0.0139 |  Accuracy: 0.96 | Confidence: 0.92
Epoch [71/150] 47.33% | Loss: 0.0175 |  Accuracy: 0.94 | Confidence: 0.92
Epoch [72/150] 48.00% | Loss: 0.0133 |  Accuracy: 0.96 | Confidence: 0.92
Epoch [73/150] 48.67% | Loss: 0.0105 |  Accuracy: 0.98 | Confidence: 0.91
Epoch [74/150] 49.33% | Loss: 0.0140 |  Accuracy: 0.96 | Confidence: 0.92
Epoch [75/150] 50.00% | Loss: 0.0123 |  Accuracy: 0.96 | Confidence: 0.93
Epoch [76/150] 50.67% | Loss: 0.0122 |  Accuracy: 0.97 | Confidence: 0.91
Epoch [77/150] 51.33% | Loss: 0.0146 |  Accuracy: 0.96 | Confidence: 0.92
Epoch [78/150] 52.00% | Loss: 0.0086 |  Accuracy: 0.99 | Confidence: 0.92
Epoch [79/150] 52.67% | Loss: 0.0155 |  Accuracy: 0.96 | Confidence: 0.92
Epoch [80/150] 53.33% | Loss: 0.0210 |  Accuracy: 0.94 | Confidence: 0.92
Epoch [81/150] 54.00% | Loss: 0.0156 |  Accuracy: 0.93 | Confidence: 0.92
Epoch [82/150] 54.67% | Loss: 0.0087 |  Accuracy: 0.99 | Confidence: 0.91
Epoch [83/150] 55.33% | Loss: 0.0080 |  Accuracy: 0.99 | Confidence: 0.92
Epoch [84/150] 56.00% | Loss: 0.0091 |  Accuracy: 0.97 | Confidence: 0.93
Epoch [85/150] 56.67% | Loss: 0.0077 |  Accuracy: 0.99 | Confidence: 0.92
Epoch [86/150] 57.33% | Loss: 0.0074 |  Accuracy: 0.99 | Confidence: 0.93
