prathyushsp@Prathyushs-MacBook-Pro ~/G/TimeSeriesSaliencyMaps (test-lmux)> /Users/prathyushsp/anaconda3/envs/py36/bin/python3 /Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/bbm_model_trainer.py
Loading train data . . .
columns are
Index(['att1', 'att2', 'att3', 'att4', 'att5', 'att6', 'att7', 'att8', 'att9',
       'att10',
       ...
       'att1452', 'att1453', 'att1454', 'att1455', 'att1456', 'att1457',
       'att1458', 'att1459', 'att1460', 'target'],
      dtype='object', length=1461)
Loading test data . . .
Loading meta file . . .
Meta file loaded successfully
Hyperparams:

{
  "loss": "ce",
  "learning_rate": 0.001,
  "num_epochs": 500,
  "num_classes": 10,
  "batch_size": 32,
  "model_save_path": "/Users/prathyushsp/Git/TimeSeriesSaliencyMaps/nte/trained_models//all_bbms/",
  "model_name": "ACSF_cnn_mse"
}



Epoch [57/500] 11.40% | Loss: 0.7280 |  Accuracy: 0.80 | Confidence: 0.66
Epoch [58/500] 11.60% | Loss: 0.7472 |  Accuracy: 0.80 | Confidence: 0.65
Epoch [59/500] 11.80% | Loss: 0.7266 |  Accuracy: 0.79 | Confidence: 0.68
Epoch [60/500] 12.00% | Loss: 0.7446 |  Accuracy: 0.80 | Confidence: 0.66
Epoch [61/500] 12.20% | Loss: 0.7130 |  Accuracy: 0.80 | Confidence: 0.67
Epoch [62/500] 12.40% | Loss: 0.7301 |  Accuracy: 0.77 | Confidence: 0.68
Epoch [63/500] 12.60% | Loss: 0.7350 |  Accuracy: 0.80 | Confidence: 0.67
Epoch [64/500] 12.80% | Loss: 0.7182 |  Accuracy: 0.79 | Confidence: 0.67
Epoch [65/500] 13.00% | Loss: 0.6946 |  Accuracy: 0.80 | Confidence: 0.69
Epoch [66/500] 13.20% | Loss: 0.6890 |  Accuracy: 0.80 | Confidence: 0.68
Epoch [67/500] 13.40% | Loss: 0.6968 |  Accuracy: 0.80 | Confidence: 0.68
Epoch [68/500] 13.60% | Loss: 0.7109 |  Accuracy: 0.80 | Confidence: 0.68
Epoch [69/500] 13.80% | Loss: 0.6843 |  Accuracy: 0.81 | Confidence: 0.68
Epoch [70/500] 14.00% | Loss: 0.6922 |  Accuracy: 0.80 | Confidence: 0.68
Epoch [71/500] 14.20% | Loss: 0.6588 |  Accuracy: 0.83 | Confidence: 0.68
Epoch [72/500] 14.40% | Loss: 0.6648 |  Accuracy: 0.80 | Confidence: 0.70
Epoch [73/500] 14.60% | Loss: 0.6458 |  Accuracy: 0.85 | Confidence: 0.68
Epoch [74/500] 14.80% | Loss: 0.6512 |  Accuracy: 0.83 | Confidence: 0.69
Epoch [75/500] 15.00% | Loss: 0.6543 |  Accuracy: 0.82 | Confidence: 0.69
Epoch [76/500] 15.20% | Loss: 0.6513 |  Accuracy: 0.84 | Confidence: 0.69
Epoch [77/500] 15.40% | Loss: 0.6465 |  Accuracy: 0.82 | Confidence: 0.70
Epoch [78/500] 15.60% | Loss: 0.6459 |  Accuracy: 0.84 | Confidence: 0.69
Epoch [79/500] 15.80% | Loss: 0.6244 |  Accuracy: 0.83 | Confidence: 0.70
Epoch [80/500] 16.00% | Loss: 0.6299 |  Accuracy: 0.80 | Confidence: 0.72
Epoch [81/500] 16.20% | Loss: 0.6351 |  Accuracy: 0.82 | Confidence: 0.70
Epoch [82/500] 16.40% | Loss: 0.6264 |  Accuracy: 0.80 | Confidence: 0.72
Epoch [83/500] 16.60% | Loss: 0.6326 |  Accuracy: 0.84 | Confidence: 0.70
Epoch [84/500] 16.80% | Loss: 0.6294 |  Accuracy: 0.84 | Confidence: 0.70
Epoch [85/500] 17.00% | Loss: 0.5907 |  Accuracy: 0.83 | Confidence: 0.73
Epoch [86/500] 17.20% | Loss: 0.6288 |  Accuracy: 0.82 | Confidence: 0.70
Epoch [87/500] 17.40% | Loss: 0.6314 |  Accuracy: 0.82 | Confidence: 0.71
Epoch [88/500] 17.60% | Loss: 0.6048 |  Accuracy: 0.84 | Confidence: 0.70
Epoch [89/500] 17.80% | Loss: 0.5877 |  Accuracy: 0.84 | Confidence: 0.72
Epoch [90/500] 18.00% | Loss: 0.6013 |  Accuracy: 0.84 | Confidence: 0.72
Epoch [91/500] 18.20% | Loss: 0.5761 |  Accuracy: 0.87 | Confidence: 0.71
Epoch [92/500] 18.40% | Loss: 0.5803 |  Accuracy: 0.85 | Confidence: 0.72
Epoch [93/500] 18.60% | Loss: 0.5926 |  Accuracy: 0.88 | Confidence: 0.70
Epoch [94/500] 18.80% | Loss: 0.5760 |  Accuracy: 0.85 | Confidence: 0.72
Epoch [95/500] 19.00% | Loss: 0.5690 |  Accuracy: 0.86 | Confidence: 0.72
Epoch [96/500] 19.20% | Loss: 0.5823 |  Accuracy: 0.84 | Confidence: 0.72
Epoch [97/500] 19.40% | Loss: 0.5911 |  Accuracy: 0.84 | Confidence: 0.72
Epoch [98/500] 19.60% | Loss: 0.5728 |  Accuracy: 0.84 | Confidence: 0.73
Epoch [99/500] 19.80% | Loss: 0.5739 |  Accuracy: 0.86 | Confidence: 0.72
Epoch [100/500] 20.00% | Loss: 0.5714 |  Accuracy: 0.84 | Confidence: 0.73
Epoch [101/500] 20.20% | Loss: 0.5835 |  Accuracy: 0.81 | Confidence: 0.73
Epoch [102/500] 20.40% | Loss: 0.5676 |  Accuracy: 0.85 | Confidence: 0.73
Epoch [103/500] 20.60% | Loss: 0.5895 |  Accuracy: 0.83 | Confidence: 0.73
Epoch [104/500] 20.80% | Loss: 0.5605 |  Accuracy: 0.84 | Confidence: 0.75
Epoch [105/500] 21.00% | Loss: 0.5321 |  Accuracy: 0.84 | Confidence: 0.75
Epoch [106/500] 21.20% | Loss: 0.5623 |  Accuracy: 0.87 | Confidence: 0.73
Epoch [107/500] 21.40% | Loss: 0.5490 |  Accuracy: 0.84 | Confidence: 0.75
Epoch [108/500] 21.60% | Loss: 0.5441 |  Accuracy: 0.84 | Confidence: 0.75
Epoch [109/500] 21.80% | Loss: 0.5467 |  Accuracy: 0.86 | Confidence: 0.74
Epoch [110/500] 22.00% | Loss: 0.5200 |  Accuracy: 0.87 | Confidence: 0.75
Epoch [111/500] 22.20% | Loss: 0.5530 |  Accuracy: 0.86 | Confidence: 0.74
Epoch [112/500] 22.40% | Loss: 0.5512 |  Accuracy: 0.84 | Confidence: 0.74
Epoch [113/500] 22.60% | Loss: 0.5425 |  Accuracy: 0.88 | Confidence: 0.73
Epoch [114/500] 22.80% | Loss: 0.5381 |  Accuracy: 0.84 | Confidence: 0.75
Epoch [115/500] 23.00% | Loss: 0.5424 |  Accuracy: 0.87 | Confidence: 0.74
Epoch [116/500] 23.20% | Loss: 0.5170 |  Accuracy: 0.87 | Confidence: 0.75
Epoch [117/500] 23.40% | Loss: 0.5214 |  Accuracy: 0.88 | Confidence: 0.75
Epoch [118/500] 23.60% | Loss: 0.5408 |  Accuracy: 0.83 | Confidence: 0.76
Epoch [119/500] 23.80% | Loss: 0.5406 |  Accuracy: 0.84 | Confidence: 0.75
Epoch [120/500] 24.00% | Loss: 0.5139 |  Accuracy: 0.85 | Confidence: 0.76
Epoch [121/500] 24.20% | Loss: 0.4979 |  Accuracy: 0.87 | Confidence: 0.75
Epoch [122/500] 24.40% | Loss: 0.5085 |  Accuracy: 0.88 | Confidence: 0.75
Epoch [123/500] 24.60% | Loss: 0.5228 |  Accuracy: 0.86 | Confidence: 0.75
Epoch [124/500] 24.80% | Loss: 0.5135 |  Accuracy: 0.88 | Confidence: 0.75
