Config: 
 {
  "model_name": "WaferDataset_model_rnn_loss_ce_lr_0.0005_epochs_200",
  "model_save_path": "/home/ramesh/work/TimeSeriesSaliencyMaps/nte/trained_models/all_bbms/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 152,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 200,
  "learning_rate": 0.0005,
  "data_set": "WaferDataset",
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [42/200] | Loss: 0.6971 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5017 | Class 1:0.5061
Epoch [43/200] | Loss: 0.6971 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5059
Epoch [44/200] | Loss: 0.6971 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5059
Epoch [45/200] | Loss: 0.6971 |  Accuracy: 0.3922 | Prediction Confidence: nan | Class 0:0.5019 | Class 1:0.5058
Epoch [46/200] | Loss: 0.6970 |  Accuracy: 0.3928 | Prediction Confidence: nan | Class 0:0.5020 | Class 1:0.5056
Epoch [47/200] | Loss: 0.6970 |  Accuracy: 0.3922 | Prediction Confidence: nan | Class 0:0.5022 | Class 1:0.5057
Epoch [48/200] | Loss: 0.6971 |  Accuracy: 0.3935 | Prediction Confidence: nan | Class 0:0.5023 | Class 1:0.5057
Epoch [49/200] | Loss: 0.6971 |  Accuracy: 0.3902 | Prediction Confidence: nan | Class 0:0.5024 | Class 1:0.5055
Epoch [50/200] | Loss: 0.6970 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5022 | Class 1:0.5055
Epoch [51/200] | Loss: 0.6970 |  Accuracy: 0.3882 | Prediction Confidence: nan | Class 0:0.5024 | Class 1:0.5057
Epoch [52/200] | Loss: 0.6971 |  Accuracy: 0.3876 | Prediction Confidence: nan | Class 0:0.5023 | Class 1:0.5056
Epoch [53/200] | Loss: 0.6972 |  Accuracy: 0.3856 | Prediction Confidence: nan | Class 0:0.5026 | Class 1:0.5053
Epoch [54/200] | Loss: 0.6970 |  Accuracy: 0.3856 | Prediction Confidence: nan | Class 0:0.5026 | Class 1:0.5053
Epoch [55/200] | Loss: 0.6969 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5027 | Class 1:0.5054
Epoch [56/200] | Loss: 0.6971 |  Accuracy: 0.3882 | Prediction Confidence: nan | Class 0:0.5028 | Class 1:0.5055
Epoch [57/200] | Loss: 0.6972 |  Accuracy: 0.3882 | Prediction Confidence: nan | Class 0:0.5028 | Class 1:0.5053
Epoch [58/200] | Loss: 0.6971 |  Accuracy: 0.3961 | Prediction Confidence: nan | Class 0:0.5028 | Class 1:0.5053
Epoch [59/200] | Loss: 0.6970 |  Accuracy: 0.3948 | Prediction Confidence: nan | Class 0:0.5025 | Class 1:0.5053
Epoch [60/200] | Loss: 0.6969 |  Accuracy: 0.3902 | Prediction Confidence: nan | Class 0:0.5024 | Class 1:0.5054
Epoch [61/200] | Loss: 0.6972 |  Accuracy: 0.3882 | Prediction Confidence: nan | Class 0:0.5026 | Class 1:0.5054
Epoch [62/200] | Loss: 0.6971 |  Accuracy: 0.3915 | Prediction Confidence: nan | Class 0:0.5028 | Class 1:0.5053
Epoch [63/200] | Loss: 0.6969 |  Accuracy: 0.3922 | Prediction Confidence: nan | Class 0:0.5029 | Class 1:0.5056
Epoch [64/200] | Loss: 0.6975 |  Accuracy: 0.3895 | Prediction Confidence: nan | Class 0:0.5029 | Class 1:0.5054
Epoch [65/200] | Loss: 0.6971 |  Accuracy: 0.3889 | Prediction Confidence: nan | Class 0:0.5029 | Class 1:0.5052
Epoch [66/200] | Loss: 0.6970 |  Accuracy: 0.3935 | Prediction Confidence: nan | Class 0:0.5032 | Class 1:0.5052
Epoch [67/200] | Loss: 0.6970 |  Accuracy: 0.3935 | Prediction Confidence: nan | Class 0:0.5035 | Class 1:0.5055
Epoch [68/200] | Loss: 0.6970 |  Accuracy: 0.3915 | Prediction Confidence: nan | Class 0:0.5031 | Class 1:0.5055
Epoch [69/200] | Loss: 0.6971 |  Accuracy: 0.3967 | Prediction Confidence: nan | Class 0:0.5033 | Class 1:0.5054
Epoch [70/200] | Loss: 0.6972 |  Accuracy: 0.4020 | Prediction Confidence: nan | Class 0:0.5037 | Class 1:0.5053
Epoch [71/200] | Loss: 0.6969 |  Accuracy: 0.4065 | Prediction Confidence: nan | Class 0:0.5040 | Class 1:0.5057
Epoch [72/200] | Loss: 0.6964 |  Accuracy: 0.4203 | Prediction Confidence: nan | Class 0:0.5044 | Class 1:0.5066
Epoch [73/200] | Loss: 0.6946 |  Accuracy: 0.4353 | Prediction Confidence: nan | Class 0:0.5059 | Class 1:0.5104
