Config: 
 {
  "model_name": "ecg_rnn_ce",
  "model_save_path": "/tmp/",
  "model": "rnn",
  "loss": "ce",
  "timesteps": 96,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 20,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      10,
      10,
      10,
      10,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.005,
  "dependency_meta": ""
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 20, batch_first=True)
  (fc1): Linear(in_features=20, out_features=2, bias=True)
)
Epoch [41/100] | Loss: 0.4018 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8306 | Class 1:0.8605
Epoch [42/100] | Loss: 0.4008 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8323 | Class 1:0.8608
Epoch [43/100] | Loss: 0.3997 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8341 | Class 1:0.8612
Epoch [44/100] | Loss: 0.3985 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8408 | Class 1:0.8561
Epoch [45/100] | Loss: 0.3973 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8428 | Class 1:0.8565
Epoch [46/100] | Loss: 0.3961 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8449 | Class 1:0.8569
Epoch [47/100] | Loss: 0.3948 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8471 | Class 1:0.8574
Epoch [48/100] | Loss: 0.3934 |  Accuracy: 0.8378 | Prediction Confidence: 0.85 | Class 0:0.8493 | Class 1:0.8579
Epoch [49/100] | Loss: 0.3920 |  Accuracy: 0.8378 | Prediction Confidence: 0.86 | Class 0:0.8515 | Class 1:0.8585
Epoch [50/100] | Loss: 0.3904 |  Accuracy: 0.8478 | Prediction Confidence: 0.85 | Class 0:0.8489 | Class 1:0.8591
Epoch [51/100] | Loss: 0.3887 |  Accuracy: 0.8478 | Prediction Confidence: 0.86 | Class 0:0.8512 | Class 1:0.8598
Epoch [52/100] | Loss: 0.3867 |  Accuracy: 0.8478 | Prediction Confidence: 0.86 | Class 0:0.8535 | Class 1:0.8605
Epoch [53/100] | Loss: 0.3845 |  Accuracy: 0.8478 | Prediction Confidence: 0.86 | Class 0:0.8558 | Class 1:0.8611
Epoch [54/100] | Loss: 0.3819 |  Accuracy: 0.8478 | Prediction Confidence: 0.86 | Class 0:0.8582 | Class 1:0.8616
Epoch [55/100] | Loss: 0.3790 |  Accuracy: 0.8578 | Prediction Confidence: 0.86 | Class 0:0.8611 | Class 1:0.8577
Epoch [56/100] | Loss: 0.3759 |  Accuracy: 0.8578 | Prediction Confidence: 0.86 | Class 0:0.8645 | Class 1:0.8581
Epoch [57/100] | Loss: 0.3726 |  Accuracy: 0.8678 | Prediction Confidence: 0.86 | Class 0:0.8683 | Class 1:0.8539
Epoch [58/100] | Loss: 0.3692 |  Accuracy: 0.8678 | Prediction Confidence: 0.86 | Class 0:0.8724 | Class 1:0.8544
Epoch [59/100] | Loss: 0.3658 |  Accuracy: 0.8678 | Prediction Confidence: 0.86 | Class 0:0.8768 | Class 1:0.8552
Epoch [60/100] | Loss: 0.3622 |  Accuracy: 0.8578 | Prediction Confidence: 0.87 | Class 0:0.8817 | Class 1:0.8610
Epoch [61/100] | Loss: 0.3580 |  Accuracy: 0.8578 | Prediction Confidence: 0.87 | Class 0:0.8876 | Class 1:0.8626
Epoch [62/100] | Loss: 0.3521 |  Accuracy: 0.8578 | Prediction Confidence: 0.88 | Class 0:0.8958 | Class 1:0.8648
Epoch [63/100] | Loss: 0.3442 |  Accuracy: 0.8478 | Prediction Confidence: 0.89 | Class 0:0.9035 | Class 1:0.8747
Epoch [64/100] | Loss: 0.3379 |  Accuracy: 0.8578 | Prediction Confidence: 0.89 | Class 0:0.9059 | Class 1:0.8806
Epoch [65/100] | Loss: 0.3229 |  Accuracy: 0.8778 | Prediction Confidence: 0.88 | Class 0:0.8945 | Class 1:0.8715
Epoch [66/100] | Loss: 0.3067 |  Accuracy: 0.8578 | Prediction Confidence: 0.90 | Class 0:0.9051 | Class 1:0.8982
Epoch [67/100] | Loss: 0.3511 |  Accuracy: 0.8456 | Prediction Confidence: 0.88 | Class 0:0.8741 | Class 1:0.8846
Epoch [68/100] | Loss: 0.4370 |  Accuracy: 0.7767 | Prediction Confidence: 0.84 | Class 0:0.8766 | Class 1:0.7985
Epoch [69/100] | Loss: 0.4058 |  Accuracy: 0.7978 | Prediction Confidence: 0.87 | Class 0:0.8706 | Class 1:0.8662
