Config: 
 {
  "model_save_path": "/tmp/",
  "model": "cnn",
  "loss": "ce",
  "model_name": "AtrialFibrilation_mc_cnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 1280,
  "num_classes": 3,
  "num_features": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 75,
    "nlayers": 3,
    "nclasses": 3
  },
  "dnn_config": {
    "layers": [
      2100,
      900,
      300,
      3
    ]
  },
  "cnn_config": {
    "ninp": 1,
    "nlayers": 3,
    "nclasses": 3
  },
  "batch_size": 1,
  "num_epochs": 500,
  "learning_rate": 0.001
}
Model: 
 CNN(
  (cnn_cell): Conv2d(1, 1, kernel_size=(1, 1), stride=(1, 1))
  (fc1): Linear(in_features=1280, out_features=10, bias=True)
  (fc2): Linear(in_features=10, out_features=3, bias=True)
)
Epoch[21/500] | Loss:0.0369 |Acc: 100.0000|Pred Confidence: 0.96 | C 0:0.9566 | C 1:0.9671 | C 2:0.9689| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[22/500] | Loss:0.0323 |Acc: 100.0000|Pred Confidence: 0.97 | C 0:0.9620 | C 1:0.9711 | C 2:0.9724| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[23/500] | Loss:0.0286 |Acc: 100.0000|Pred Confidence: 0.97 | C 0:0.9665 | C 1:0.9745 | C 2:0.9753| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[24/500] | Loss:0.0254 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9702 | C 1:0.9773 | C 2:0.9778| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[25/500] | Loss:0.0227 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9734 | C 1:0.9796 | C 2:0.9800| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[26/500] | Loss:0.0205 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9761 | C 1:0.9817 | C 2:0.9818| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[27/500] | Loss:0.0185 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9784 | C 1:0.9834 | C 2:0.9834| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[28/500] | Loss:0.0168 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9804 | C 1:0.9849 | C 2:0.9849| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[29/500] | Loss:0.0154 |Acc: 100.0000|Pred Confidence: 0.98 | C 0:0.9821 | C 1:0.9862 | C 2:0.9861| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[30/500] | Loss:0.0141 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9836 | C 1:0.9874 | C 2:0.9872| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[31/500] | Loss:0.0130 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9850 | C 1:0.9884 | C 2:0.9881| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[32/500] | Loss:0.0120 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9861 | C 1:0.9893 | C 2:0.9890| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[33/500] | Loss:0.0111 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9872 | C 1:0.9901 | C 2:0.9898| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[34/500] | Loss:0.0103 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9881 | C 1:0.9908 | C 2:0.9905| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[35/500] | Loss:0.0096 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9890 | C 1:0.9914 | C 2:0.9911| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[36/500] | Loss:0.0089 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9897 | C 1:0.9920 | C 2:0.9917| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[37/500] | Loss:0.0084 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9904 | C 1:0.9925 | C 2:0.9922| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[38/500] | Loss:0.0078 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9910 | C 1:0.9930 | C 2:0.9926| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[39/500] | Loss:0.0074 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9916 | C 1:0.9934 | C 2:0.9931| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[40/500] | Loss:0.0069 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9921 | C 1:0.9938 | C 2:0.9935| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[41/500] | Loss:0.0065 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9925 | C 1:0.9941 | C 2:0.9938| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[42/500] | Loss:0.0062 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9930 | C 1:0.9945 | C 2:0.9941| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[43/500] | Loss:0.0058 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9933 | C 1:0.9948 | C 2:0.9944| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[44/500] | Loss:0.0055 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9937 | C 1:0.9950 | C 2:0.9947| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[45/500] | Loss:0.0053 |Acc: 100.0000|Pred Confidence: 0.99 | C 0:0.9940 | C 1:0.9953 | C 2:0.9950| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[46/500] | Loss:0.0050 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9943 | C 1:0.9955 | C 2:0.9952| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[47/500] | Loss:0.0047 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9946 | C 1:0.9957 | C 2:0.9955| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[48/500] | Loss:0.0045 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9949 | C 1:0.9959 | C 2:0.9957| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[49/500] | Loss:0.0043 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9951 | C 1:0.9961 | C 2:0.9959| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[50/500] | Loss:0.0041 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9954 | C 1:0.9963 | C 2:0.9960| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[51/500] | Loss:0.0039 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9956 | C 1:0.9965 | C 2:0.9962| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[52/500] | Loss:0.0038 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9958 | C 1:0.9966 | C 2:0.9964| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[53/500] | Loss:0.0036 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9960 | C 1:0.9968 | C 2:0.9965| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[54/500] | Loss:0.0034 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9961 | C 1:0.9969 | C 2:0.9967| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[55/500] | Loss:0.0033 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9963 | C 1:0.9970 | C 2:0.9968| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[56/500] | Loss:0.0032 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9964 | C 1:0.9971 | C 2:0.9969| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[57/500] | Loss:0.0030 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9966 | C 1:0.9973 | C 2:0.9970| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[58/500] | Loss:0.0029 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9967 | C 1:0.9974 | C 2:0.9972| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[59/500] | Loss:0.0028 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9968 | C 1:0.9975 | C 2:0.9973| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[60/500] | Loss:0.0027 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9970 | C 1:0.9976 | C 2:0.9974| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
Epoch[61/500] | Loss:0.0026 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9971 | C 1:0.9977 | C 2:0.9975| C 3:nan| C 4:nan| C 5:nan| C 6:nan| C 7:nan| C 8:nan| C 9:nan| C 10:nan| C 11:nan
