Config: 
 {
  "model_save_path": "./trained_models/burst10/",
  "model": "rnn",
  "loss": "ce",
  "model_name": "burst_location_rnn_ce",
  "dependency_meta": {
    "md5": "b3a5d9edaec16e285ba87b4dea61e7c2",
    "timestamp": "2020-05-19 20:48:54.101166"
  },
  "timesteps": 10,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 10,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      50,
      20,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 50,
  "learning_rate": 0.001
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 10, batch_first=True)
  (fc1): Linear(in_features=10, out_features=2, bias=True)
)
Epoch [41/50] | Loss: 0.0002 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9995 | Class 1:0.9999
Epoch [42/50] | Loss: 0.0002 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9995 | Class 1:0.9999
Epoch [43/50] | Loss: 0.0002 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9996 | Class 1:0.9999
Epoch [44/50] | Loss: 0.0002 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9996 | Class 1:0.9999
Epoch [45/50] | Loss: 0.0002 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9996 | Class 1:0.9999
Epoch [46/50] | Loss: 0.0002 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9997 | Class 1:0.9999
Epoch [47/50] | Loss: 0.0001 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9997 | Class 1:0.9999
Epoch [48/50] | Loss: 0.0001 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9997 | Class 1:0.9999
Epoch [49/50] | Loss: 0.0001 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9997 | Class 1:0.9999
Epoch [50/50] | Loss: 0.0001 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9997 | Class 1:0.9999
Test Accuracy 100.0 | Confidence ({0: array([0.9997369], dtype=float32), 1: array([0.999929], dtype=float32)}, 0.999833)
